CustomerKey,Recency,Frequency,Monetary
11012,90,2,81.26
11013,3,2,113.96000000000001
11014,258,2,138.45
11015,360,1,2500.97
11016,338,1,2332.2799999999997
11021,355,1,2371.9599999999996
11022,358,1,2322.2799999999997
11023,7,2,122.24000000000001
11024,171,2,56.510000000000005
11036,356,1,2354.9799999999996
11040,285,1,2350.9599999999996
11041,364,1,2380.47
11042,88,2,3112.33
11043,148,2,47.980000000000004
11049,76,2,81.26
11053,361,1,2329.9799999999996
11062,371,1,2351.9599999999996
11063,366,1,2372.95
11064,353,1,2304.9799999999996
11065,9,2,202.57
11066,116,2,81.26
11067,8,2,105.75
11081,275,2,104.25999999999999
11082,68,2,3110.81
11083,66,2,3137.3199999999997
11084,53,2,3078.6099999999997
11085,10,2,128.96
11086,23,2,153.45
11087,157,2,200.28
11088,62,2,3176.7799999999997
11089,56,2,3188.2799999999997
11090,53,3,6704.08
11127,104,2,43.980000000000004
11128,154,2,143.94
11129,369,2,5873.26
11130,35,1,37.29
11133,14,1,71.96000000000001
11135,270,1,2334.97
11137,4,2,202.57
11138,14,2,78.97
11140,300,1,39.99
11141,107,2,113.96000000000001
11143,25,2,48.56
11144,353,1,2399.97
11145,353,1,2309.97
11152,369,1,2294.99
11153,290,2,109.77
11154,368,1,2319.99
11155,372,1,2319.99
11156,370,1,2389.97
11157,124,2,41.28
11158,359,1,2395.9599999999996
11159,67,2,48.56
11160,326,1,2322.2799999999997
11161,63,2,93.95
11162,329,1,2329.9799999999996
11163,161,2,46.27
11164,161,2,144.76000000000002
11165,222,2,102.49
11166,38,2,87.96000000000001
11167,46,2,3126.33
11168,58,2,3136.59
11169,111,2,81.26
11170,15,2,157.23000000000002
11171,67,3,6716.55
11172,8,2,128.94
11173,20,2,102.49
11174,172,2,48.56
11175,71,3,6710.55
11177,91,2,135.25
11178,232,2,144.76
11179,9,2,125.44
11180,110,2,138.45
11181,186,2,41.28
11182,11,2,81.26
11183,214,2,46.27
11184,96,2,68.25
11186,10,2,41.28
11187,160,2,107.47999999999999
11188,3,2,81.26
11189,342,2,5944.219999999999
11190,6,2,46.27
11191,68,3,6743.58
11192,110,2,113.96000000000001
11193,148,2,41.28
11194,36,2,105.75
11195,83,2,105.75
11196,111,2,162.28
11197,177,2,207.56
11198,334,2,98.47
11199,88,2,131.75
11201,126,2,180.94
11202,114,2,73.98
11204,64,2,77.27000000000001
11205,97,2,37.29
11206,228,2,77.27000000000001
11207,87,2,77.27000000000001
11208,118,2,134.23
11209,3,2,37.29
11210,129,2,70.75999999999999
11213,126,2,77.27000000000001
